Project Name,Package Name,Type Name,Code Smell
baralga,org.remast.baralga.repository,BaralgaRepository,Unutilized Abstraction
baralga,org.remast.baralga.repository,ProjectRepository,Unutilized Abstraction
baralga,org.remast.baralga.repository,ActivityRepository,Unutilized Abstraction
baralga,org.remast.baralga.repository,BaralgaRestRepositoryTest,Unutilized Abstraction
baralga,org.remast.baralga.repository,GzipInterceptor,Unutilized Abstraction
baralga,org.remast.baralga.repository,BaralgaRestRepository,Insufficient Modularization
baralga,org.remast.util,StringUtilsTest,Unutilized Abstraction
baralga,org.remast.text,SmartTimeFormatTest,Unutilized Abstraction
baralga,org.remast.text,DurationFormatTest,Unutilized Abstraction
baralga,org.remast.text,TimeFormat,Deficient Encapsulation
baralga,org.remast.text,DurationFormat,Deficient Encapsulation
baralga,org.remast.baralga.repository.file,BaralgaFileRepositoryTest,Unutilized Abstraction
baralga,org.remast.baralga.repository.file,BaralgaFileRepository,Deficient Encapsulation
baralga,org.remast.baralga.gui.settings,ApplicationSettingsTest,Unutilized Abstraction
baralga,org.remast.baralga.gui.settings,UserSettingsTest,Unutilized Abstraction
baralga,org.remast.baralga.gui.settings,UserSettings,Deficient Encapsulation
baralga,org.remast.baralga.gui.settings,UserSettings,Insufficient Modularization
baralga,org.remast.baralga.gui.model,PresentationModelTest,Unutilized Abstraction
baralga,org.remast.baralga.gui.model,PresentationModel,Cyclic-Dependent Modularization
baralga,org.remast.baralga.gui.model,PresentationModel,Insufficient Modularization
baralga,org.remast.baralga.gui.model,ProjectActivityStateException,Unutilized Abstraction
baralga,org.remast.baralga.model,ProjectTest,Unutilized Abstraction
baralga,org.remast.baralga.model,ProjectActivityTest,Unutilized Abstraction
baralga,org.remast.baralga.model,ProjectActivity,Deficient Encapsulation
baralga,org.remast.baralga.model,Project,Deficient Encapsulation
baralga,org.remast.baralga.model.filter,ProjectPredicate,Unutilized Abstraction
baralga,org.remast.baralga.model.filter,TimeIntervalPredicate,Unutilized Abstraction
baralga,org.remast.swing.util,ExceptionUtils,Cyclic-Dependent Modularization
baralga,org.remast.swing.util,ExceptionHandler,Unutilized Abstraction
baralga,org.remast.swing.util,ExceptionHandlingEventProcessor,Unutilized Abstraction
baralga,org.remast.swing.util,FileFilters,Unutilized Abstraction
baralga,org.remast.swing.util,ICalFileFilter,Unutilized Abstraction
baralga,org.remast.swing.util,ExcelFileFilter,Unutilized Abstraction
baralga,org.remast.swing.util,CsvFileFilter,Unutilized Abstraction
baralga,org.remast.swing.util,DataFileFilter,Unutilized Abstraction
baralga,org.remast.swing.util,GuiConstants,Deficient Encapsulation
baralga,org.remast.swing.dialog,EscapeDialog,Unutilized Abstraction
baralga,org.remast.swing.action,OpenBrowserAction,Unutilized Abstraction
baralga,org.remast.swing.table,JHighligthedTable,Unutilized Abstraction
baralga,org.remast.swing.table,JHighligthedTable,Deficient Encapsulation
baralga,org.remast.swing.table,BooleanCellRenderer,Unutilized Abstraction
baralga,org.remast.baralga.gui,TrayIcon,Cyclic-Dependent Modularization
baralga,org.remast.baralga.gui,BaralgaMain,Cyclic-Dependent Modularization
baralga,org.remast.baralga.gui,MainFrame,Cyclic-Dependent Modularization
baralga,org.remast.baralga.gui,MainFrame,Insufficient Modularization
baralga,org.remast.baralga.gui.lists,ProjectFilterList,Deficient Encapsulation
baralga,org.remast.baralga.gui.lists,ProjectFilterList,Cyclic-Dependent Modularization
baralga,org.remast.baralga.gui.panels,ActivityPanelStopWatch,Unutilized Abstraction
baralga,org.remast.baralga.gui.panels,DescriptionPanelEntry,Cyclic-Dependent Modularization
baralga,org.remast.baralga.gui.panels,ReportPanel,Cyclic-Dependent Modularization
baralga,org.remast.baralga.gui.panels,DescriptionPanel,Cyclic-Dependent Modularization
baralga,org.remast.baralga.gui.panels,SelectLastActionPanel,Unutilized Abstraction
baralga,org.remast.baralga.gui.panels,SelectNextActionPanel,Unutilized Abstraction
baralga,org.remast.baralga.gui.panels,FilteredActivitiesPane,Cyclic-Dependent Modularization
baralga,org.remast.baralga.gui.panels.table,AccumulatedProjectActivityTextFilterator,Unutilized Abstraction
baralga,org.remast.baralga.gui.panels.table,AllActivitiesTableFormat,Unutilized Abstraction
baralga,org.remast.baralga.gui.panels.table,HoursByQuarterTableFormat,Unutilized Abstraction
baralga,org.remast.baralga.gui.panels.table,HoursByWeekTextFilterator,Unutilized Abstraction
baralga,org.remast.baralga.gui.panels.table,HoursByQuarterTextFilterator,Unutilized Abstraction
baralga,org.remast.baralga.gui.panels.table,ProjectActivityTextFilterator,Unutilized Abstraction
baralga,org.remast.baralga.gui.panels.table,HoursByMonthTextFilterator,Unutilized Abstraction
