Project Name,Package Name,Type Name,Method Name,Code Smell
baralga,org.remast.baralga.repository,ActivityVO,ActivityVO,Long Parameter List
baralga,org.remast.baralga.repository,BaralgaRestRepositoryTest,getAllProjects,Long Statement
baralga,org.remast.baralga.repository,BaralgaRestRepositoryTest,findProjectById,Long Statement
baralga,org.remast.baralga.repository,BaralgaRestRepositoryTest,getActivities,Long Statement
baralga,org.remast.baralga.repository,GzipInterceptor,unzip,Long Statement
baralga,org.remast.baralga.repository,BaralgaRestRepository,initialize,Long Statement
baralga,org.remast.baralga.repository,BaralgaRestRepository,initialize,Magic Number
baralga,org.remast.baralga.repository,BaralgaRestRepository,initialize,Magic Number
baralga,org.remast.baralga.repository,BaralgaRestRepository,addActivity,Long Statement
baralga,org.remast.baralga.repository,BaralgaRestRepository,updateActivity,Long Statement
baralga,org.remast.baralga.repository,BaralgaRestRepository,addProject,Long Statement
baralga,org.remast.baralga.repository,BaralgaRestRepository,getAllProjects,Magic Number
baralga,org.remast.baralga.repository,BaralgaRestRepository,findProjectById,Magic Number
baralga,org.remast.baralga.repository,BaralgaRestRepository,findProjectById,Magic Number
baralga,org.remast.baralga.repository,BaralgaRestRepository,updateProject,Long Statement
baralga,org.remast.baralga.repository,BaralgaRestRepository,readActivity,Long Statement
baralga,org.remast.baralga.repository,BaralgaRestRepository,readProject,Long Statement
baralga,org.remast.baralga.repository,BaralgaRestRepository,login,Long Statement
baralga,org.remast.baralga.repository,BaralgaRestRepository,login,Magic Number
baralga,org.remast.baralga.repository,BaralgaRestRepository,login,Magic Number
baralga,org.remast.baralga.repository,BaralgaRestRepository,execute,Magic Number
baralga,org.remast.baralga.repository,BaralgaRestRepository,execute,Magic Number
baralga,org.remast.util,DateUtils,adjustToSameDay,Complex Conditional
baralga,org.remast.util,DateUtils,quarterStartFor,Magic Number
baralga,org.remast.util,DateUtils,quarterStartFor,Magic Number
baralga,org.remast.util,TextResourceBundle,TextResourceBundle,Long Statement
baralga,org.remast.text,SmartTimeFormatTest,parseToHourAndMinutesNormal,Magic Number
baralga,org.remast.text,SmartTimeFormatTest,parseToHourAndMinutesNormal,Magic Number
baralga,org.remast.text,SmartTimeFormatTest,parseToHourAndMinutesWithHoursOnly,Magic Number
baralga,org.remast.text,SmartTimeFormatTest,parseToHourAndMinutesWithDecimalMinutes,Magic Number
baralga,org.remast.text,SmartTimeFormatTest,parseToHourAndMinutesWithDecimalMinutes,Magic Number
baralga,org.remast.text,SmartTimeFormatTest,parseToHourAndMinutesWithDecimalMinutesShort,Magic Number
baralga,org.remast.text,DurationFormatTest,formatDurationInHoursAndMinutes,Magic Number
baralga,org.remast.text,DurationFormatTest,formatDurationInHoursAndMinutes,Magic Number
baralga,org.remast.text,DurationFormatTest,formatDurationInHoursAndMinutes,Magic Number
baralga,org.remast.text,DurationFormatTest,formatDurationInHoursAndMinutes,Magic Number
baralga,org.remast.text,DurationFormatTest,formatDurationInHoursAndMinutes,Magic Number
baralga,org.remast.text,DurationFormatTest,formatDurationInHoursAndMinutes,Magic Number
baralga,org.remast.text,SmartTimeFormat,parseToHourAndMinutes,Magic Number
baralga,org.remast.text,SmartTimeFormat,parseToHourAndMinutes,Magic Number
baralga,org.remast.text,SmartTimeFormat,parseToHourAndMinutes,Magic Number
baralga,org.remast.text,SmartTimeFormat,normalize,Empty catch clause
baralga,org.remast.text,SmartTimeFormat,normalize,Magic Number
baralga,org.remast.text,SmartTimeFormat,normalize,Magic Number
baralga,org.remast.text,SmartTimeFormat,normalize,Magic Number
baralga,org.remast.text,SmartTimeFormat,normalize,Magic Number
baralga,org.remast.text,SmartTimeFormat,normalize,Magic Number
baralga,org.remast.text,DurationFormat,formatAsHoursAndMinutes,Magic Number
baralga,org.remast.baralga.repository.file,BaralgaFileRepository,init,Long Statement
baralga,org.remast.baralga.repository.file,BaralgaFileRepository,updateDatabase,Long Statement
baralga,org.remast.baralga.repository.file,BaralgaFileRepository,updateDatabase,Magic Number
baralga,org.remast.baralga.repository.file,BaralgaFileRepository,addProject,Magic Number
baralga,org.remast.baralga.repository.file,BaralgaFileRepository,addProject,Magic Number
baralga,org.remast.baralga.repository.file,BaralgaFileRepository,addProject,Magic Number
baralga,org.remast.baralga.repository.file,BaralgaFileRepository,getAllProjects,Long Statement
baralga,org.remast.baralga.repository.file,BaralgaFileRepository,addActivity,Magic Number
baralga,org.remast.baralga.repository.file,BaralgaFileRepository,addActivity,Magic Number
baralga,org.remast.baralga.repository.file,BaralgaFileRepository,addActivity,Magic Number
baralga,org.remast.baralga.repository.file,BaralgaFileRepository,addActivity,Magic Number
baralga,org.remast.baralga.repository.file,BaralgaFileRepository,updateProject,Magic Number
baralga,org.remast.baralga.repository.file,BaralgaFileRepository,updateProject,Magic Number
baralga,org.remast.baralga.repository.file,BaralgaFileRepository,updateProject,Magic Number
baralga,org.remast.baralga.repository.file,BaralgaFileRepository,updateActivity,Magic Number
baralga,org.remast.baralga.repository.file,BaralgaFileRepository,updateActivity,Magic Number
baralga,org.remast.baralga.repository.file,BaralgaFileRepository,updateActivity,Magic Number
baralga,org.remast.baralga.repository.file,BaralgaFileRepository,updateActivity,Magic Number
baralga,org.remast.baralga.repository.file,BaralgaFileRepository,findProjectById,Long Statement
baralga,org.remast.baralga.repository.file,BaralgaFileRepository,getActivities,Long Statement
baralga,org.remast.baralga.repository.file,BaralgaFileRepository,getActivities,Long Statement
baralga,org.remast.baralga.repository.file,BaralgaFileRepository,getActivities,Long Statement
baralga,org.remast.baralga.repository.file,BaralgaFileRepository,getActivities,Magic Number
baralga,org.remast.baralga.gui.settings,ApplicationSettings,ApplicationSettings,Long Identifier
baralga,org.remast.baralga.gui.settings,ApplicationSettings,ApplicationSettings,Long Statement
baralga,org.remast.baralga.gui.settings,ApplicationSettings,ApplicationSettings,Magic Number
baralga,org.remast.baralga.gui.settings,ApplicationSettings,isStoreDataInApplicationDirectory,Long Identifier
baralga,org.remast.baralga.gui.settings,ApplicationSettings,getApplicationDataDirectory,Long Identifier
baralga,org.remast.baralga.gui.settings,UserSettings,UserSettings,Long Statement
baralga,org.remast.baralga.gui.settings,UserSettings,getWindowSize,Long Statement
baralga,org.remast.baralga.gui.settings,UserSettings,getWindowLocation,Long Statement
baralga,org.remast.baralga.gui.settings,UserSettings,getStopwatchWindowSize,Long Statement
baralga,org.remast.baralga.gui.settings,UserSettings,getStopwatchWindowLocation,Long Statement
baralga,org.remast.baralga.gui.settings,UserSettings,doGetDate,Long Statement
baralga,org.remast.baralga.gui.model,PresentationModel,initialize,Complex Conditional
baralga,org.remast.baralga.gui.model,PresentationModel,initialize,Empty catch clause
baralga,org.remast.baralga.gui.model,PresentationModel,isProjectDeletionConfirmed,Long Statement
baralga,org.remast.baralga.model,ProjectActivityTest,calculateDuration,Magic Number
baralga,org.remast.baralga.model,ProjectActivityTest,calculateDuration,Magic Number
baralga,org.remast.baralga.model,ProjectActivityTest,calculateDuration,Magic Number
baralga,org.remast.baralga.model,ProjectActivityTest,calculateDuration,Magic Number
baralga,org.remast.baralga.model,ProjectActivityTest,calculateDuration,Magic Number
baralga,org.remast.baralga.model,ProjectActivityTest,calculateDuration,Magic Number
baralga,org.remast.baralga.model,ProjectActivityTest,calculateDuration,Magic Number
baralga,org.remast.baralga.model,ProjectActivityTest,calculateDuration,Magic Number
baralga,org.remast.baralga.model,ProjectActivityTest,startAndEndOnSameDay,Magic Number
baralga,org.remast.baralga.model,ProjectActivityTest,startAndEndOnSameDay,Magic Number
baralga,org.remast.baralga.model,ProjectActivityTest,startAndEndOnSameDay,Magic Number
baralga,org.remast.baralga.model,ProjectActivityTest,startAndEndOnSameDay,Magic Number
baralga,org.remast.baralga.model,ProjectActivityTest,startAndEndOnSameDay,Magic Number
baralga,org.remast.baralga.model,ProjectActivityTest,startAndEndOnSameDay,Magic Number
baralga,org.remast.baralga.model,ProjectActivityTest,startAndEndOnSameDay,Magic Number
baralga,org.remast.baralga.model,ProjectActivityTest,startAndEndOnSameDay,Magic Number
baralga,org.remast.baralga.model,ProjectActivityTest,startNotAfterEnd,Empty catch clause
baralga,org.remast.baralga.model,ProjectActivityTest,startNotAfterEnd,Empty catch clause
baralga,org.remast.baralga.model,ProjectActivityTest,startNotAfterEnd,Magic Number
baralga,org.remast.baralga.model,ProjectActivityTest,startNotAfterEnd,Magic Number
baralga,org.remast.baralga.model,ProjectActivityTest,startNotAfterEnd,Magic Number
baralga,org.remast.baralga.model,ProjectActivityTest,startNotAfterEnd,Magic Number
baralga,org.remast.baralga.model,ProjectActivityTest,startNotAfterEnd,Magic Number
baralga,org.remast.baralga.model,ProjectActivityTest,startNotAfterEnd,Magic Number
baralga,org.remast.baralga.model,ProjectActivityTest,startNotAfterEnd,Magic Number
baralga,org.remast.baralga.model,ProjectActivityTest,startNotAfterEnd,Magic Number
baralga,org.remast.baralga.model,ProjectActivityTest,startNotAfterEnd,Magic Number
baralga,org.remast.baralga.model,ProjectActivityTest,startNotAfterEnd,Magic Number
baralga,org.remast.baralga.model,ProjectActivityTest,startNotAfterEnd,Magic Number
baralga,org.remast.baralga.model,ProjectActivityTest,startNotAfterEnd,Magic Number
baralga,org.remast.baralga.model,ProjectActivityTest,startNotAfterEnd,Magic Number
baralga,org.remast.baralga.model,ProjectActivityTest,startNotAfterEnd,Magic Number
baralga,org.remast.baralga.model,ProjectActivityTest,testSetDay,Magic Number
baralga,org.remast.baralga.model,ProjectActivityTest,testSetDay,Magic Number
baralga,org.remast.baralga.model,ProjectActivityTest,testSetDay,Magic Number
baralga,org.remast.baralga.model,ProjectActivityTest,testSetDay,Magic Number
baralga,org.remast.baralga.model,ProjectActivityTest,testSetDay,Magic Number
baralga,org.remast.baralga.model,ProjectActivityTest,testSetDay,Magic Number
baralga,org.remast.baralga.model,ProjectActivityTest,testSetDay,Magic Number
baralga,org.remast.baralga.model,ProjectActivityTest,testSetDay,Magic Number
baralga,org.remast.baralga.model,ProjectActivityTest,testSetDay,Magic Number
baralga,org.remast.baralga.model,ProjectActivityTest,testSetDay,Magic Number
baralga,org.remast.baralga.model,ProjectActivityTest,testSetDay,Magic Number
baralga,org.remast.baralga.model,ProjectActivityTest,testSetDay,Magic Number
baralga,org.remast.baralga.model,ProjectActivityTest,testSetDay,Magic Number
baralga,org.remast.baralga.model,ProjectActivityTest,testSetDay,Magic Number
baralga,org.remast.baralga.model,ProjectActivityTest,testSetDay,Magic Number
baralga,org.remast.baralga.model,ProjectActivityTest,testSetDay,Magic Number
baralga,org.remast.baralga.model,ProjectActivityTest,testSetDay,Magic Number
baralga,org.remast.baralga.model,ProjectActivityTest,testSetDay,Magic Number
baralga,org.remast.baralga.model,ProjectActivityTest,testSetDay,Magic Number
baralga,org.remast.baralga.model,ProjectActivityTest,testSetDay,Magic Number
baralga,org.remast.baralga.model,ProjectActivityTest,testSetDay,Magic Number
baralga,org.remast.baralga.model,ProjectActivityTest,testSetDay,Magic Number
baralga,org.remast.baralga.model,ProjectActivityTest,testSetDay,Magic Number
baralga,org.remast.baralga.model,ProjectActivityTest,testSetDay,Magic Number
