Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
baralga,org.remast.baralga.repository,ActivityVO,ActivityVO,3,1,3
baralga,org.remast.baralga.repository,ActivityVO,ActivityVO,7,1,5
baralga,org.remast.baralga.repository,ActivityVO,getId,3,1,0
baralga,org.remast.baralga.repository,ActivityVO,setId,3,1,1
baralga,org.remast.baralga.repository,ActivityVO,getStart,3,1,0
baralga,org.remast.baralga.repository,ActivityVO,setStart,3,1,1
baralga,org.remast.baralga.repository,ActivityVO,getEnd,3,1,0
baralga,org.remast.baralga.repository,ActivityVO,setEnd,3,1,1
baralga,org.remast.baralga.repository,ActivityVO,getDescription,3,1,0
baralga,org.remast.baralga.repository,ActivityVO,setDescription,3,1,1
baralga,org.remast.baralga.repository,ActivityVO,getProject,3,1,0
baralga,org.remast.baralga.repository,ActivityVO,setProject,3,1,1
baralga,org.remast.baralga.repository,ServerNotAvailableException,ServerNotAvailableException,4,1,1
baralga,org.remast.baralga.repository,ServerNotAvailableException,getBaseUrl,3,1,0
baralga,org.remast.baralga.repository,UnauthorizedException,UnauthorizedException,4,1,1
baralga,org.remast.baralga.repository,UnauthorizedException,getUser,3,1,0
baralga,org.remast.baralga.repository,ProjectVO,ProjectVO,6,1,4
baralga,org.remast.baralga.repository,ProjectVO,getId,3,1,0
baralga,org.remast.baralga.repository,ProjectVO,setId,3,1,1
baralga,org.remast.baralga.repository,ProjectVO,getTitle,3,1,0
baralga,org.remast.baralga.repository,ProjectVO,setTitle,3,1,1
baralga,org.remast.baralga.repository,ProjectVO,getDescription,3,1,0
baralga,org.remast.baralga.repository,ProjectVO,setDescription,3,1,1
baralga,org.remast.baralga.repository,ProjectVO,isActive,3,1,0
baralga,org.remast.baralga.repository,ProjectVO,setActive,3,1,1
baralga,org.remast.baralga.repository,BaralgaRepository,close,0,1,0
baralga,org.remast.baralga.repository,BaralgaRepository,initialize,0,1,0
baralga,org.remast.baralga.repository,BaralgaRepository,gatherStatistics,0,1,0
baralga,org.remast.baralga.repository,BaralgaRepository,clearData,0,1,0
baralga,org.remast.baralga.repository,ProjectRepository,addProject,0,1,1
baralga,org.remast.baralga.repository,ProjectRepository,remove,0,1,1
baralga,org.remast.baralga.repository,ProjectRepository,getAllProjects,0,1,0
baralga,org.remast.baralga.repository,ProjectRepository,addProjects,0,1,1
baralga,org.remast.baralga.repository,ProjectRepository,updateProject,0,1,1
baralga,org.remast.baralga.repository,ProjectRepository,findProjectById,0,1,1
baralga,org.remast.baralga.repository,ProjectRepository,isProjectAdministrationAllowed,0,1,0
baralga,org.remast.baralga.repository,ActivityRepository,getActivities,0,1,0
baralga,org.remast.baralga.repository,ActivityRepository,addActivity,0,1,1
baralga,org.remast.baralga.repository,ActivityRepository,removeActivity,0,1,1
baralga,org.remast.baralga.repository,ActivityRepository,addActivities,0,1,1
baralga,org.remast.baralga.repository,ActivityRepository,removeActivities,0,1,1
baralga,org.remast.baralga.repository,ActivityRepository,updateActivity,0,1,1
baralga,org.remast.baralga.repository,ActivityRepository,getActivities,0,1,1
baralga,org.remast.baralga.repository,FilterVO,getTimeInterval,3,1,0
baralga,org.remast.baralga.repository,FilterVO,setTimeInterval,3,1,1
baralga,org.remast.baralga.repository,BaralgaRestRepositoryTest,setup,6,1,0
baralga,org.remast.baralga.repository,BaralgaRestRepositoryTest,getAllProjects,12,1,0
baralga,org.remast.baralga.repository,BaralgaRestRepositoryTest,findProjectById,11,1,0
baralga,org.remast.baralga.repository,BaralgaRestRepositoryTest,getActivities,11,1,0
baralga,org.remast.baralga.repository,GzipInterceptor,intercept,11,2,1
baralga,org.remast.baralga.repository,GzipInterceptor,unzip,10,2,1
baralga,org.remast.baralga.repository,GzipInterceptor,isGzipped,3,1,1
baralga,org.remast.baralga.repository,BaralgaRestRepository,BaralgaRestRepository,5,1,3
baralga,org.remast.baralga.repository,BaralgaRestRepository,close,3,1,0
baralga,org.remast.baralga.repository,BaralgaRestRepository,initialize,8,1,0
baralga,org.remast.baralga.repository,BaralgaRestRepository,verifyLogin,9,1,0
baralga,org.remast.baralga.repository,BaralgaRestRepository,gatherStatistics,2,1,0
baralga,org.remast.baralga.repository,BaralgaRestRepository,clearData,2,1,0
baralga,org.remast.baralga.repository,BaralgaRestRepository,getActivities,3,1,0
baralga,org.remast.baralga.repository,BaralgaRestRepository,addActivity,16,1,1
baralga,org.remast.baralga.repository,BaralgaRestRepository,removeActivity,6,1,1
baralga,org.remast.baralga.repository,BaralgaRestRepository,addActivities,3,1,1
baralga,org.remast.baralga.repository,BaralgaRestRepository,removeActivities,3,1,1
baralga,org.remast.baralga.repository,BaralgaRestRepository,updateActivity,7,1,1
baralga,org.remast.baralga.repository,BaralgaRestRepository,getActivities,33,5,1
baralga,org.remast.baralga.repository,BaralgaRestRepository,addProject,14,1,1
baralga,org.remast.baralga.repository,BaralgaRestRepository,remove,6,1,1
baralga,org.remast.baralga.repository,BaralgaRestRepository,getAllProjects,3,1,0
baralga,org.remast.baralga.repository,BaralgaRestRepository,isProjectAdministrationAllowed,13,1,0
baralga,org.remast.baralga.repository,BaralgaRestRepository,getProjects,25,4,2
baralga,org.remast.baralga.repository,BaralgaRestRepository,findProjectById,17,2,1
baralga,org.remast.baralga.repository,BaralgaRestRepository,addProjects,3,1,1
baralga,org.remast.baralga.repository,BaralgaRestRepository,updateProject,7,1,1
baralga,org.remast.baralga.repository,BaralgaRestRepository,createActivity,13,1,1
baralga,org.remast.baralga.repository,BaralgaRestRepository,createProject,7,1,1
baralga,org.remast.baralga.repository,BaralgaRestRepository,readActivity,3,1,1
baralga,org.remast.baralga.repository,BaralgaRestRepository,readProject,3,1,1
baralga,org.remast.baralga.repository,BaralgaRestRepository,login,7,1,0
baralga,org.remast.baralga.repository,BaralgaRestRepository,writeValueAsJsonString,8,1,1
baralga,org.remast.baralga.repository,BaralgaRestRepository,readTreeFromJsonString,8,1,1
baralga,org.remast.baralga.repository,BaralgaRestRepository,execute,26,5,2
baralga,org.remast.baralga.repository,BaralgaRestRepository,activitiesUrl,3,1,0
baralga,org.remast.baralga.repository,BaralgaRestRepository,projectsUrl,3,1,0
baralga,org.remast.baralga.repository,BaralgaRestRepository,baseUrl,3,1,0
baralga,org.remast.util,DateUtilsTest,startOfQuarter,8,1,0
baralga,org.remast.util,DateUtilsTest,dateOf,3,1,1
baralga,org.remast.util,StringUtilsTest,stripXmlTags,13,1,0
baralga,org.remast.util,StringUtils,stripXmlTags,9,2,1
baralga,org.remast.util,DateUtils,getNow,3,1,0
baralga,org.remast.util,DateUtils,getNowAsDateTime,4,1,0
baralga,org.remast.util,DateUtils,adjustToSameDay,7,2,3
baralga,org.remast.util,DateUtils,isBeforeOrEqual,3,1,2
baralga,org.remast.util,DateUtils,quarterStartFor,3,1,1
baralga,org.remast.util,TextResourceBundle,TextResourceBundle,17,3,1
baralga,org.remast.util,TextResourceBundle,getBundle,6,2,1
baralga,org.remast.util,TextResourceBundle,textFor,12,2,1
baralga,org.remast.util,TextResourceBundle,textFor,3,1,2
baralga,org.remast.text,SmartTimeFormatTest,parseToHourAndMinutesNormal,5,1,0
baralga,org.remast.text,SmartTimeFormatTest,parseToHourAndMinutesWithHoursOnly,5,1,0
baralga,org.remast.text,SmartTimeFormatTest,parseToHourAndMinutesWithDecimalMinutes,5,1,0
baralga,org.remast.text,SmartTimeFormatTest,parseToHourAndMinutesWithDecimalMinutesShort,5,1,0
baralga,org.remast.text,DurationFormatTest,before,3,1,0
baralga,org.remast.text,DurationFormatTest,formatDurationInHoursAndMinutes,15,1,0
baralga,org.remast.text,DurationFormatTest,after,3,1,0
baralga,org.remast.text,TimeFormat,parseTime,3,1,1
baralga,org.remast.text,TimeFormat,format,5,1,3
baralga,org.remast.text,TimeFormat,parse,5,1,2
baralga,org.remast.text,SmartTimeFormat,parse,9,2,2
baralga,org.remast.text,SmartTimeFormat,parseToHourAndMinutes,19,4,1
baralga,org.remast.text,SmartTimeFormat,normalize,35,6,1
baralga,org.remast.text,DurationFormat,format,9,2,3
baralga,org.remast.text,DurationFormat,format,3,1,3
baralga,org.remast.text,DurationFormat,parse,3,1,2
baralga,org.remast.text,DurationFormat,displayAsHoursAndMinutes,3,1,0
baralga,org.remast.text,DurationFormat,formatAsHoursAndMinutes,5,1,1
baralga,org.remast.baralga.repository.file,BaralgaFileRepositoryTest,beforeEach,3,1,0
baralga,org.remast.baralga.repository.file,BaralgaFileRepositoryTest,updateDatabase,3,1,0
baralga,org.remast.baralga.repository.file,BaralgaFileRepositoryTest,addProject,6,1,0
baralga,org.remast.baralga.repository.file,BaralgaFileRepository,initialize,10,1,0
baralga,org.remast.baralga.repository.file,BaralgaFileRepository,init,5,1,1
