Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT
baralga,org.remast.baralga.repository,ActivityVO,5,0,12,12,59,12,0,0,0.0,7,1
baralga,org.remast.baralga.repository,ServerNotAvailableException,1,0,2,2,10,2,0,0,0.0,1,0
baralga,org.remast.baralga.repository,UnauthorizedException,1,0,2,2,10,2,0,0,0.0,1,0
baralga,org.remast.baralga.repository,ProjectVO,4,0,9,9,45,9,0,0,0.0,10,0
baralga,org.remast.baralga.repository,BaralgaRepository,0,0,4,0,12,4,1,1,-1.0,2,0
baralga,org.remast.baralga.repository,ProjectRepository,0,0,7,0,33,7,1,0,-1.0,0,1
baralga,org.remast.baralga.repository,ActivityRepository,0,0,7,0,38,7,1,0,-1.0,0,2
baralga,org.remast.baralga.repository,FilterVO,1,0,2,2,9,2,0,0,0.0,6,0
baralga,org.remast.baralga.repository,BaralgaRestRepositoryTest,2,0,4,1,44,4,0,0,0.0,0,3
baralga,org.remast.baralga.repository,GzipInterceptor,0,0,3,1,26,5,0,0,-1.0,0,0
baralga,org.remast.baralga.repository,BaralgaRestRepository,7,0,32,21,281,44,0,2,0.1875,2,3
baralga,org.remast.util,DateUtilsTest,0,0,2,1,13,2,0,0,-1.0,1,1
baralga,org.remast.util,StringUtilsTest,0,0,1,1,23,1,0,0,-1.0,0,1
baralga,org.remast.util,StringUtils,1,0,1,1,23,2,0,0,0.0,8,0
baralga,org.remast.util,DateUtils,0,0,5,5,44,6,0,0,-1.0,8,1
baralga,org.remast.util,TextResourceBundle,3,0,4,3,77,8,0,0,0.0,50,1
baralga,org.remast.text,SmartTimeFormatTest,0,0,4,0,22,4,0,0,-1.0,0,1
baralga,org.remast.text,DurationFormatTest,2,0,3,3,25,3,0,0,0.6666666666666666,0,4
baralga,org.remast.text,TimeFormat,2,1,3,3,37,3,1,0,0.0,2,0
baralga,org.remast.text,SmartTimeFormat,0,0,3,2,83,12,0,1,-1.0,3,1
baralga,org.remast.text,DurationFormat,2,2,5,3,27,6,0,0,0.6,1,1
baralga,org.remast.baralga.repository.file,BaralgaFileRepositoryTest,1,0,3,0,15,3,0,0,0.0,0,2
baralga,org.remast.baralga.repository.file,BaralgaFileRepository,4,1,22,18,426,52,0,0,0.09090909090909091,2,7
baralga,org.remast.baralga.gui.settings,ApplicationSettingsTest,0,0,4,0,31,4,0,0,-1.0,0,1
baralga,org.remast.baralga.gui.settings,UserSettingsTest,0,0,3,0,27,3,0,0,-1.0,0,1
baralga,org.remast.baralga.gui.settings,ApplicationSettings,10,0,7,5,126,14,0,0,0.2857142857142857,8,1
baralga,org.remast.baralga.gui.settings,UserSettings,28,10,52,46,460,59,0,0,0.0,20,3
baralga,org.remast.baralga.gui.model,PresentationModelTest,0,0,1,1,9,1,0,0,-1.0,0,0
baralga,org.remast.baralga.gui.model,PresentationModel,17,0,52,48,563,81,0,0,0.17307692307692307,43,10
baralga,org.remast.baralga.gui.model,ProjectActivityStateException,0,0,1,1,13,1,0,0,-1.0,0,0
baralga,org.remast.baralga.model,ProjectTest,0,0,2,0,23,2,0,0,-1.0,0,2
baralga,org.remast.baralga.model,ProjectActivityTest,0,0,6,4,117,6,0,0,-1.0,0,5
baralga,org.remast.baralga.model,ProjectActivity,11,5,19,19,173,30,0,0,0.0,23,3
baralga,org.remast.baralga.model,Project,7,2,14,14,110,17,0,0,0.0,18,2
baralga,org.remast.baralga.model,BaralgaDAO,1,0,19,19,171,32,0,0,0.10526315789473684,2,7
baralga,org.remast.baralga.model.filter,FilterTest,0,0,7,0,41,7,0,0,-1.0,1,4
baralga,org.remast.baralga.model.filter,FilterUtils,5,0,4,4,111,24,0,0,1.0,3,2
baralga,org.remast.baralga.model.filter,ProjectPredicate,1,0,2,2,28,3,0,0,0.0,0,2
baralga,org.remast.baralga.model.filter,TimeIntervalPredicate,1,0,2,2,31,3,0,0,0.0,0,1
baralga,org.remast.baralga.model.filter,Filter,4,0,12,11,135,23,0,0,0.16666666666666666,15,4
baralga,org.remast.swing.util,LabeledItem,2,0,8,8,68,12,0,0,0.0,4,1
baralga,org.remast.swing.util,ScreenUtils,5,0,11,10,261,41,0,0,0.36363636363636365,2,1
baralga,org.remast.swing.util,AWTUtils,0,0,4,3,43,6,0,0,-1.0,3,2
baralga,org.remast.swing.util,ExceptionUtils,2,0,3,2,47,5,0,0,0.0,4,5
baralga,org.remast.swing.util,ExceptionHandler,0,0,1,1,6,1,0,0,-1.0,0,1
baralga,org.remast.swing.util,ExceptionHandlingEventProcessor,0,0,1,0,11,1,0,0,-1.0,0,1
baralga,org.remast.swing.util,FileFilters,1,0,8,8,54,8,0,0,0.625,0,1
baralga,org.remast.swing.util,ICalFileFilter,0,0,2,2,11,2,0,0,-1.0,0,0
baralga,org.remast.swing.util,ExcelFileFilter,0,0,2,2,11,2,0,0,-1.0,0,0
baralga,org.remast.swing.util,CsvFileFilter,0,0,2,2,11,2,0,0,-1.0,0,0
baralga,org.remast.swing.util,DataFileFilter,0,0,2,2,11,2,0,0,-1.0,0,0
